table,number,alpha,beta
6,60,"(0, 0, 0, 1/4, 3/4)","(1/2, 1/2, 1/2, 1/3, 2/3)"
6,61,"(0, 0, 0, 1/4, 3/4)","(1/2, 1/3, 1/3, 2/3, 2/3)"
6,62,"(0, 0, 0, 1/6, 5/6)","(1/2, 1/2, 1/2, 1/3, 2/3)"
6,63,"(0, 0, 0, 1/6, 5/6)","(1/2, 1/3, 1/3, 2/3, 2/3)"
6,64,"(0, 0, 0, 1/6, 5/6)","(1/2, 1/3, 2/3, 1/4, 3/4)"
6,65,"(0, 0, 0, 1/6, 5/6)","(1/2, 1/5, 2/5, 3/5, 4/5)"
6,66,"(0, 1/10, 3/10, 7/10, 9/10)","(1/2, 1/3, 1/3, 2/3, 2/3)"
6,67,"(0, 1/12, 5/12, 7/12, 11/12)","(1/2, 1/3, 1/3, 2/3, 2/3)"
7,68,"(0, 0, 0, 1/3, 2/3)","(1/2, 1/2, 1/2, 1/4, 3/4)"
7,69,"(0, 0, 0, 1/3, 2/3)","(1/2, 1/2, 1/2, 1/6, 5/6)"
7,70,"(0, 0, 0, 1/3, 2/3)","(1/2, 1/5, 2/5, 3/5, 4/5)"
7,71,"(0, 0, 0, 1/4, 3/4)","(1/2, 1/3, 2/3, 1/6, 5/6)"
7,72,"(0, 0, 0, 1/4, 3/4)","(1/2, 1/5, 2/5, 3/5, 4/5)"
7,73,"(0, 0, 0, 1/4, 3/4)","(1/2, 1/8, 3/8, 5/8, 7/8)"
7,74,"(0, 0, 0, 1/4, 3/4)","(1/2, 1/12, 5/12, 7/12, 11/12)"
7,75,"(0, 0, 0, 1/6, 5/6)","(1/2, 1/8, 3/8, 5/8, 7/8)"
7,76,"(0, 0, 0, 1/6, 5/6)","(1/2, 1/12, 5/12, 7/12, 11/12)"
7,77,"(0, 1/10, 3/10, 7/10, 9/10)","(1/2, 1/5, 2/5, 3/5, 4/5)"
